date	host	attribution	fedcm	fenced_frames	floc	private_aggregation	private_state_tokens	protected_audience	shared_storage	storage_access	topics	ua_client_hints	grand_total_apis	total_without_ua_client_hints	date_rank
2023-09-01	www.googletagmanager.com	130748	57	70	4	0	0	130368	0	3	0	130538	391788	261250	1
2023-09-01	securepubads.g.doubleclick.net	23515	0	12804	2	0	2	12734	6	0	12732	10548	72343	61795	2
2023-09-01	pagead2.googlesyndication.com	24209	0	96	0	0	0	9511	0	0	9397	12871	56084	43213	3
2023-09-01	googleads.g.doubleclick.net	2117	0	2090	0	0	0	0	0	0	26352	2090	32649	30559	4
2023-09-01	www.googletagservices.com	2986	0	8821	0	0	2	0	8719	0	0	11954	32482	20528	5
2023-09-01	gum.criteo.com	0	0	0	0	0	0	8802	0	0	8802	0	17604	17604	6
2023-09-01	connect.facebook.net	17378	0	0	0	0	0	0	0	0	0	20914	38292	17378	7
2023-09-01	www.youtube.com	6989	0	3	0	0	0	0	3	6787	0	4484	18266	13782	8
2023-09-01	www.gstatic.com	1693	99	1425	0	0	0	0	0	8481	0	1560	13258	11698	9
2023-09-01	imasdk.googleapis.com	4400	0	4114	0	0	20	0	0	0	0	4178	12712	8534	10
2024-09-01	www.googletagmanager.com	131995	73	51	2	0	0	131871	0	3	132108	131877	527980	396103	1
2024-09-01	securepubads.g.doubleclick.net	30325	0	21572	0	0	0	11074	19953	0	19844	10151	112919	102768	2
2024-09-01	pagead2.googlesyndication.com	25993	0	13992	0	0	0	7172	13805	0	7142	24309	92413	68104	3
2024-09-01	googleads.g.doubleclick.net	8123	0	7912	0	0	0	0	0	0	21696	7988	45719	37731	4
2024-09-01	www.googleadservices.com	1397	0	9937	0	9685	0	0	9937	0	5831	1408	38195	36787	5
2024-09-01	www.gstatic.com	7749	76	7068	0	0	0	0	226	8666	0	14643	38428	23785	6
2024-09-01	imasdk.googleapis.com	4034	0	3937	0	0	0	2328	4018	0	3849	3993	22159	18166	7
2024-09-01	connect.facebook.net	15180	0	0	0	0	0	0	0	0	0	14651	29831	15180	8
2024-09-01	tpc.googlesyndication.com	3580	0	10502	0	0	0	134	0	0	10	1273	15499	14226	9
2024-09-01	gum.criteo.com	0	0	0	0	0	0	6945	0	0	6945	0	13890	13890	10
2025-09-01	www.googletagmanager.com	129555	75	69	3	3	0	16	0	2	131580	124361	385664	261303	1
2025-09-01	securepubads.g.doubleclick.net	29297	0	21046	0	0	0	10584	19354	0	19030	9582	108893	99311	2
2025-09-01	pagead2.googlesyndication.com	21066	0	17079	0	10325	0	6228	16967	0	6082	19875	97622	77747	3
2025-09-01	connect.facebook.net	15212	0	0	0	0	0	0	0	0	14352	14663	44227	29564	4
2025-09-01	gum.criteo.com	0	0	0	0	0	0	9239	9238	0	9239	0	27716	27716	5
2025-09-01	ep2.adtrafficquality.google	24162	0	2	0	0	0	0	0	0	0	0	24164	24164	6
2025-09-01	www.googleadservices.com	1220	0	7656	0	7513	0	0	7656	0	0	1238	25283	24045	7
2025-09-01	imasdk.googleapis.com	4092	0	3929	0	0	0	2319	1506	0	3701	3984	19531	15547	8
2025-09-01	www.gstatic.com	3352	78	2807	0	0	0	0	6	8691	0	11440	26374	14934	9
2025-09-01	u.openx.net	0	0	0	0	0	0	0	0	0	11764	0	11764	11764	10
